ID,Pop,Sexo,Localidade,Maturacao,Habitat,Comp_total
1_0X_PP_23_04_001,HPL,F,PP,A,Costeiro-Recifal,230
1_0X_PP_23_04_002,HPL,F,PP,A,Costeiro-Recifal,238
1_0X_PP_23_04_003,HPL,F,PP,A,Costeiro-Recifal,246
1_0X_PP_23_04_004,HPL,F,PP,A,Costeiro-Recifal,212
1_0X_PP_23_04_005,HPL,M,PP,A,Costeiro-Recifal,193
1_0X_PP_23_04_006,HPL,F,PP,A,Costeiro-Recifal,216
1_0X_PP_23_04_007,HPL,F,PP,A,Costeiro-Recifal,248
1_0X_PP_23_04_008,HPL,F,PP,A,Costeiro-Recifal,257
1_0X_PP_23_04_009,HPL,F,PP,A,Costeiro-Recifal,224
1_0X_PP_23_04_010,HPL,-,PP,J,Costeiro-Recifal,105
1_0X_PP_23_04_011,HPL,-,PP,J,Costeiro-Recifal,138
