ID ;POP;SEXO;LOCALIDADE;MATURAÇÃO;HABITAT;COM_CT
BM3-19-07-155(1.6);Bairdiella ronchus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;89
BP2-26-07-020(1.0);Bairdiella ronchus;NA;Barra de Santo Antônio;ADULTO;MAR_EST_OPO;167
BM2-22-07-011(1.0);Bairdiella ronchus;NA;Barra de Santo Antônio;ADULTO;MAR_EST_OPO;165
BM2-22-07-012(1.0);Bairdiella ronchus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;87
BM3-22-07-006(1.0);Bairdiella ronchus;NA;Barra de Santo Antônio;ADULTO;MAR_EST_OPO;169
7L1C9(1.0);Bairdiella ronchus;NA;Lagoa;ADULTO;MAR_EST_OPO;185
36L4C4(1.0);Bairdiella ronchus;NA;Lagoa;ADULTO;MAR_EST_OPO;185
94L4C9(1.0);Bairdiella ronchus;NA;Lagoa;ADULTO;MAR_EST_OPO;185
BM2-SD-90(1.0);Bairdiella ronchus;NA;BSA;ADULTO;MAR_EST_OPO;170
BM2-SD-93(1.6);Bairdiella ronchus;NA;BSA;JOVEM;MAR_EST_OPO;98
BM2-SD-94(1.6);Bairdiella ronchus;NA;BSA;JOVEM;MAR_EST_OPO;84
BM2-SD-95(1.0);Bairdiella ronchus;NA;BSA;JOVEM;MAR_EST_OPO;86
BM2-SD-96(1.0);Bairdiella ronchus;NA;BSA;JOVEM;MAR_EST_OPO;83
CBC2-06-93(1.6);Bairdiella ronchus;NA;BSA;JOVEM;MAR_EST_OPO;98
CBC2-06-95(1.6);Bairdiella ronchus;NA;BSA;JOVEM;MAR_EST_OPO;85
