ID ;POP;SEXO;LOCALIDADE;MATURAÇÃO;HABITAT;COM_CT
JFAF-05-1530(1.0);Isopisthus parvipinnis;NA;Jaraguá;ADULTO;MAR_EST_DEP;171
JFAF-19-11-68(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;150
JFAF-19-11-070(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;138
JFAF-19-11-072(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;119
JFAF-19-11-073(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;149
JFAF-19-11-78(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;142
JFAF-19-11-082(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;110
JFAF-19-11-085(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;130
JFAF-19-11-089(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;130
JFAF-19-11-092(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;138
JFAF-19-11-093(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;147
PFZR-05-170(1.0);Isopisthus parvipinnis;NA;Peba;JOVEM;MAR_EST_DEP;80
PFZR-20-03-044(1.0);Isopisthus parvipinnis;NA;Peba;JOVEM;MAR_EST_DEP;65
PLGF-20-01-23(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;175
PLMF-19-05-169(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;232
PLMF-19-05-170(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;193
PLMF-19-05-171(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;199
PLMF-20-03-141(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;221
PLMF-20-03-142(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;225
PLMF-20-03-143(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;246
