ID ;POP;SEXO;LOCALIDADE;MATURAÇÃO;HABITAT;COM_CT
25_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/sul;ADULTO;MAR_EST_OPO;190
138_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/central;ADULTO;MAR_EST_OPO;176
309_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/central;ADULTO;MAR_EST_OPO;206
332_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/central;ADULTO;MAR_EST_OPO;195
392(1.0);Larimus breviceps;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;165
657(1.0);Larimus breviceps;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;155
659(1.0);Larimus breviceps;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;150
665(1.0);Larimus breviceps;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;161
741(1.0);Larimus breviceps;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;150
BP1-SEMDATA-021(1.6);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;50
BP1-SEMDATA-022(1.6);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;60
BP1-SEMDATA-023(1.6);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;66
BP2-26-07-007(1.25);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;80
BP2-26-07-008(2.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;40
BP2-26-07-009(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;70
BP2-26-07-010(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;70
BP2-26-07-011(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;60
BP2-26-07-012(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;70
BP2-26-07-013(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;90
BP2-26-07-014(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;80
