ID ;POP;SEXO;LOCALIDADE;MATURAÇÃO;HABITAT;COM_CT
58(1.0);Menticirrhus americanus;NA;Alagoas/norte;ADULTO;MAR_EST_OPO;256
186(1.0);Menticirrhus americanus;NA;Alagoas/central;JOVEM;MAR_EST_OPO;130
455(1.0);Menticirrhus americanus;NA;Alagoas/Central;JOVEM;MAR_EST_OPO;127
457(1.6);Menticirrhus americanus;NA;Alagoas/Central;JOVEM;MAR_EST_OPO;125
680(1.0);Menticirrhus americanus;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;259
1150(1.0);Menticirrhus americanus;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;251
1177(1.0);Menticirrhus americanus;NA;Alagoas/Norte;JOVEM;MAR_EST_OPO;152
1209(1.0);Menticirrhus americanus;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;208
1269(1.0);Menticirrhus americanus;NA;Alagoas/ Norte;ADULTO;MAR_EST_OPO;259
1272(1.0);Menticirrhus americanus;NA;Alagoas/ Norte;ADULTO;MAR_EST_OPO;280
1274(1.0);Menticirrhus americanus;NA;Alagoas/ Norte;ADULTO;MAR_EST_OPO;287
BP3-20-03-19-4(1.0);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;108
CBC2-06-71(1.6);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;134
CBC2-06-72(1.6);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;95
CBC2-06-73(1.6);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;71
CMP2-08-198(1.6);Menticirrhus americanus;NA;Manguaba;JOVEM;MAR_EST_OPO;100
JFAF-20-01-15(1.0);Menticirrhus americanus;NA;Jaraguá;ADULTO;MAR_EST_OPO;261
JFAR-20-01-018(1.);Menticirrhus americanus;NA;Jaraguá;JOVEM;MAR_EST_OPO;155
PLMF-20-03-10(1.0);Menticirrhus americanus;NA;Peba;ADULTO;MAR_EST_OPO;155
PLMF-20-03-11(1.0);Menticirrhus americanus;NA;Peba;JOVEM;MAR_EST_OPO;99
PLMF-20-03-12(1.0);Menticirrhus americanus;NA;Peba;JOVEM;MAR_EST_OPO;87
PP-04-23-086(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;319
PP-04-23-087(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;290
PP-04-23-088(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;285
PP-04-23-089(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;290
PP-04-23-090(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;306
PP-04-23-091(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;310
SBC1-02-109(1.0);Menticirrhus americanus;NA;barra de Santo Antônio;JOVEM;MAR_EST_OPO;51
