ID ;POP;SEXO;LOCALIDADE;MATURAÇÃO;HABITAT;COM_CT
3L6C5(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;246
4L6C5(1.0);Micropogonias furnieri;;Lagoa;JOVEM;MAR_EST_DEP;237
71L3C5(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;248
133L6C1(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;204
267L1C3(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;225
513L5C3(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP ;NA
649(1.0);Micropogonias furnieri;;Alagoas/Norte;ADULTO;MAR_EST_DEP;243
683(1.0);Micropogonias furnieri;;Alagoas/Norte;ADULTO;MAR_EST_DEP;265
1266(1.0);Micropogonias furnieri;;Alagoas/ Norte;ADULTO;MAR_EST_DEP;238
1278(1.0);Micropogonias furnieri;;Alagoas/ Norte;ADULTO;MAR_EST_DEP;232
BM1-22-07-011(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;125
BM2-SEMDATA-065(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;120
BM2-SEMDATA-066(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;130
BM2-SEMDATA-067(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;120
BM2-SEMDATA-068(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;110
BM2-SEMDATA-069(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;120
BM2-SD-070(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;110
BM2-SEMDATA-071(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;120
BM2-SEMDATA-072(1.0);Micropogonias furnieri;;Barra de Santo Antônio;JOVEM;MAR_EST_DEP;100
BP1-23-01-001(1.0);Micropogonias furnieri;;Barra de Santo Antônio;ADULTO;MAR_EST_DEP;184
PP-04-23-092(1.0);Micropogonias furnieri;;Paripueira;ADULTO;MAR_EST_DEP;342
PP-04-23-093;Micropogonias furnieri;;Paripueira;ADULTO;MAR_EST_DEP;339
PP-04-23-094(1.0);Micropogonias furnieri;;Paripueira;ADULTO;MAR_EST_DEP;260
PP-04-23-096;Micropogonias furnieri;;Paripueira;ADULTO;MAR_EST_DEP;351
PP-04-23-097;Micropogonias furnieri;;Paripueira;ADULTO;MAR_EST_DEP;385
;;;;;;
;;;;;;
;;;;;;
