ID ;POP;SEXO;LOCALIDADE;MATURAÇÃO;HABITAT;COM_CT
JLGF-19-09-276(1.0);Stellifer rastrifer;;Jaraguá;ADULTO;MAR_VAG;136
JLGF-19-09-279(1.0);Stellifer rastrifer;;Jaraguá;ADULTO;MAR_VAG;133
PFZR-05-275(1.0);Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;149
PFZR-05-276(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;153
PFZR-05-277(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;138
PFZR-05-278(1.0);Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;132
PFZR-05-280(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;120
PFZR-05-282(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;120
PFZR-05-283(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;120
PFZR-05-284(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;146
PFZR-05-285(1.0);Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;137
PFZR-05-286(1.0);Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;135
PFZR-05-290(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;105
PFZR-05-292(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;82
PFZR-05-293(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;87
PFZR-05-294(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;98
PFZR-05-299(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;86
PFZR-05-303(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;80
PFZR-05-306(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;87
PFZR-05-307(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;82
PFZR-20-01-211;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;117
PFZR-20-01-213;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;146
PFZR-20-01-214;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;115
PFZR-20-01-215;Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;112
PFZR-20-01-216;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;118
PFZR-20-03-216;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;141
PLGR-20-01-113(1.0);Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;152
PLGR-20-01-114;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;138
PLGR-20-01-116;Stellifer rastrifer;;Peba;ADULTO;MAR_VAG;97
PLGR-20-01-122(1.0);Stellifer rastrifer;;Peba;JOVEM;MAR_VAG;80
JFAF-05-1530(1.0);Isopisthus parvipinnis;NA;Jaraguá;ADULTO;MAR_EST_DEP;171
JFAF-19-11-68(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;150
JFAF-19-11-070(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;138
JFAF-19-11-072(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;119
JFAF-19-11-073(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;149
JFAF-19-11-78(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;142
JFAF-19-11-082(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;110
JFAF-19-11-085(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;130
JFAF-19-11-089(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;130
JFAF-19-11-092(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;138
JFAF-19-11-093(1.0);Isopisthus parvipinnis;NA;Jaraguá;JOVEM;MAR_EST_DEP;147
PFZR-05-170(1.0);Isopisthus parvipinnis;NA;Peba;JOVEM;MAR_EST_DEP;80
PFZR-20-03-044(1.0);Isopisthus parvipinnis;NA;Peba;JOVEM;MAR_EST_DEP;65
PLGF-20-01-23(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;175
PLMF-19-05-169(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;232
PLMF-19-05-170(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;193
PLMF-19-05-171(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;199
PLMF-20-03-141(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;221
PLMF-20-03-142(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;225
PLMF-20-03-143(1.0);Isopisthus parvipinnis;NA;Peba;ADULTO;MAR_EST_DEP;246
25_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/sul;ADULTO;MAR_EST_OPO;190
138_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/central;ADULTO;MAR_EST_OPO;176
309_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/central;ADULTO;MAR_EST_OPO;206
332_SINPESCA(1.0);Larimus breviceps;NA;Alagoas/central;ADULTO;MAR_EST_OPO;195
392(1.0);Larimus breviceps;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;165
657(1.0);Larimus breviceps;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;155
659(1.0);Larimus breviceps;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;150
665(1.0);Larimus breviceps;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;161
741(1.0);Larimus breviceps;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;150
BP1-SEMDATA-021(1.6);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;50
BP1-SEMDATA-022(1.6);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;60
BP1-SEMDATA-023(1.6);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;66
BP2-26-07-007(1.25);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;80
BP2-26-07-008(2.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;40
BP2-26-07-009(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;70
BP2-26-07-010(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;70
BP2-26-07-011(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;60
BP2-26-07-012(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;70
BP2-26-07-013(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;90
BP2-26-07-014(1.0);Larimus breviceps;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;80
58(1.0);Menticirrhus americanus;NA;Alagoas/norte;ADULTO;MAR_EST_OPO;256
186(1.0);Menticirrhus americanus;NA;Alagoas/central;JOVEM;MAR_EST_OPO;130
455(1.0);Menticirrhus americanus;NA;Alagoas/Central;JOVEM;MAR_EST_OPO;127
457(1.6);Menticirrhus americanus;NA;Alagoas/Central;JOVEM;MAR_EST_OPO;125
680(1.0);Menticirrhus americanus;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;259
1150(1.0);Menticirrhus americanus;NA;Alagoas/Norte;ADULTO;MAR_EST_OPO;251
1177(1.0);Menticirrhus americanus;NA;Alagoas/Norte;JOVEM;MAR_EST_OPO;152
1209(1.0);Menticirrhus americanus;NA;Alagoas/Central;ADULTO;MAR_EST_OPO;208
1269(1.0);Menticirrhus americanus;NA;Alagoas/ Norte;ADULTO;MAR_EST_OPO;259
1272(1.0);Menticirrhus americanus;NA;Alagoas/ Norte;ADULTO;MAR_EST_OPO;280
1274(1.0);Menticirrhus americanus;NA;Alagoas/ Norte;ADULTO;MAR_EST_OPO;287
BP3-20-03-19-4(1.0);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;108
CBC2-06-71(1.6);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;134
CBC2-06-72(1.6);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;95
CBC2-06-73(1.6);Menticirrhus americanus;NA;Barra de Santo Antônio;JOVEM;MAR_EST_OPO;71
CMP2-08-198(1.6);Menticirrhus americanus;NA;Manguaba;JOVEM;MAR_EST_OPO;100
JFAF-20-01-15(1.0);Menticirrhus americanus;NA;Jaraguá;ADULTO;MAR_EST_OPO;261
JFAR-20-01-018(1.);Menticirrhus americanus;NA;Jaraguá;JOVEM;MAR_EST_OPO;155
PLMF-20-03-10(1.0);Menticirrhus americanus;NA;Peba;ADULTO;MAR_EST_OPO;155
PLMF-20-03-11(1.0);Menticirrhus americanus;NA;Peba;JOVEM;MAR_EST_OPO;99
PLMF-20-03-12(1.0);Menticirrhus americanus;NA;Peba;JOVEM;MAR_EST_OPO;87
PP-04-23-086(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;319
PP-04-23-087(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;290
PP-04-23-088(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;285
PP-04-23-089(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;290
PP-04-23-090(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;306
PP-04-23-091(1.0);Menticirrhus americanus;NA;Paripueira;ADULTO;MAR_EST_OPO;310
SBC1-02-109(1.0);Menticirrhus americanus;NA;barra de Santo Antônio;JOVEM;MAR_EST_OPO;51
3L6C5(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;246
4L6C5(1.0);Micropogonias furnieri;;Lagoa;JOVEM;MAR_EST_DEP;237
71L3C5(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;248
133L6C1(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;204
267L1C3(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP;225
513L5C3(1.0);Micropogonias furnieri;;Lagoa;ADULTO;MAR_EST_DEP ;NA
649(1.0);Micropogonias furnieri;;Alagoas/Norte;ADULTO;MAR_EST_DEP;243
